ID_REF,VALUE
1_at,5.9845
10_at,4.5031
100_at,8.278
1000_at,4.423
10000_at,5.0795
100009676_at,5.0706
10001_at,10.055
10002_at,3.8912
10003_at,3.6664
10004_at,4.3719
100048912_at,3.899
100049716_at,6.313
10005_at,8.3571
10006_at,8.935
10007_at,9.0153
10008_at,4.4923
10009_at,8.4687
100093630_at,10.543
1001_at,12.917
10010_at,9.651
100101467_at,5.6408
100101938_at,5.1334
10011_at,8.9257
100113407_at,4.7738
100124700_at,6.0663
100125288_at,4.6442
100126784_at,3.6305
100126791_at,3.8804
100126793_at,4.5115
100127888_at,4.1653
100127891_at,4.7132
100127950_at,3.3576
100127974_at,3.5625
100127983_at,4.0345
100128025_at,3.5668
100128071_at,5.1104
100128098_at,3.9511
100128124_at,3.613
100128126_at,3.771
100128139_at,3.5298
100128164_at,4.1779
100128176_at,3.4545
100128191_at,5.3195
100128239_at,3.6375
100128252_at,4.5413
100128288_at,6.2047
100128292_at,4.499
100128343_at,6.8054
100128361_at,4.9453
100128374_at,3.9966
100128496_at,4.2711
100128511_at,3.8576
100128554_at,3.452
100128590_at,3.494
100128640_at,4.2955
100128653_at,4.6686
100128731_at,12.116
100128737_at,6.044
100128750_at,4.1235
100128751_at,3.9082
100128782_at,4.667
100128788_at,4.4561
100128822_at,8.3107
100128840_at,4.1455
100128881_at,5.0207
100128893_at,5.7768
100128909_at,4.0018
100128927_at,6.3611
100128946_at,4.4721
100128977_at,4.339
100128993_at,3.7105
100128998_at,3.7172
100129034_at,5.3641
100129098_at,4.4684
100129104_at,4.8874
100129128_at,9.6124
100129195_at,4.2397
100129196_at,5.8398
100129250_at,6.1677
100129271_at,3.6595
100129361_at,10.913
100129387_at,7.1611
100129427_at,4.0805
100129460_at,6.1243
100129463_at,3.899
100129476_at,3.7525
100129482_at,5.2418
100129502_at,8.4501
100129550_at,7.7957
100129597_at,3.4115
100129617_at,4.7771
100129620_at,3.4924
100129654_at,3.5902
100129662_at,3.5389
100129716_at,5.7503
100129722_at,4.8317
100129726_at,4.2183
100129792_at,3.746
100129794_at,5.3168
100129827_at,4.298
100129845_at,5.9103
100129858_at,3.495
100129917_at,6.044
100129935_at,5.5993
100129960_at,5.5346
100129961_at,3.9049
10013_at,7.1045
100130100_at,4.6053
100130111_at,3.6084
100130155_at,3.7908
100130219_at,5.0226
100130249_at,3.9075
100130264_at,3.8362
100130275_at,5.3424
100130331_at,3.8524
100130357_at,4.677
100130418_at,3.6926
100130428_at,6.9223
100130449_at,7.4375
100130452_at,3.6616
100130458_at,3.7611
100130502_at,4.5676
100130503_at,3.3912
100130519_at,5.5212
100130522_at,4.2738
100130548_at,3.8027
100130557_at,6.2024
100130581_at,4.5646
100130613_at,4.3488
100130691_at,5.351
100130700_at,4.4353
100130705_at,3.8546
100130717_at,3.8678
100130733_at,4.032
100130776_at,6.4082
100130815_at,3.6561
100130855_at,4.141
100130856_at,5.2031
100130872_at,5.3641
100130889_at,3.772
100130894_at,3.6366
100130933_at,4.5131
100130938_at,6.9702
100130950_at,4.1237
100130958_at,5.422
100130964_at,3.5312
100130967_at,5.6748
100130987_at,4.2805
100130992_at,4.2956
100131067_at,7.6071
100131096_at,6.8387
100131117_at,3.6978
100131138_at,3.5658
100131187_at,11.14
100131211_at,5.762
100131213_at,4.5102
100131275_at,3.6381
100131283_at,3.4778
100131316_at,4.7031
100131347_at,5.0447
100131354_at,5.5578
100131366_at,4.4001
100131434_at,4.4994
100131454_at,4.8307
100131496_at,4.2998
100131561_at,4.1702
100131564_at,11.067
100131607_at,8.084
100131655_at,3.6726
100131691_at,4.1559
100131733_at,3.8254
100131755_at,4.3
100131801_at,8.8287
100131814_at,3.6412
100131816_at,3.7327
100131825_at,4.348
100131827_at,3.8393
100131998_at,3.9599
100132234_at,3.4912
100132341_at,8.2841
100132354_at,4.4747
100132356_at,5.9105
100132386_at,4.3099
100132464_at,3.9624
100132476_at,3.2114
100132596_at,3.9785
100132618_at,3.6198
100132677_at,4.0248
100132707_at,5.5365
100132735_at,3.5299
100132815_at,5.2939
100132891_at,3.4192
100132911_at,4.3644
100132987_at,3.8367
100133039_at,4.1747
100133190_at,7.9566
100133308_at,3.6178
100133311_at,4.3961
100133461_at,3.9735
100133612_at,5.0915
100133985_at,3.9981
100133991_at,3.8342
100134229_at,4.0117
100134259_at,5.8528
100134361_at,5.0359
100134368_at,3.755
100134713_at,4.5288
100137047_at,7.1817
10014_at,6.0019
100141515_at,4.7599
100144596_at,4.308
100144597_at,3.9332
100144602_at,3.9466
100144603_at,7.3001
100144604_at,4.9683
100144748_at,4.3346
100147773_at,5.2707
10015_at,9.782
10016_at,11.012
100169752_at,3.8079
100169890_at,3.3335
100169989_at,4.2537
10017_at,4.5465
100170229_at,4.0762
100170765_at,3.8163
100170841_at,6.616
10018_at,6.3269
100188893_at,12.823
100188953_at,3.8799
100189589_at,3.5066
10019_at,8.5015
100190938_at,3.8871
100190939_at,6.1997
100192378_at,3.5439
100192379_at,3.6072
100192386_at,3.7937
1002_at,5.4969
10020_at,8.7288
10021_at,4.0507
100216545_at,4.8008
100216546_at,4.5168
10022_at,3.7739
10023_at,4.5884
10024_at,8.3201
10025_at,6.4254
10026_at,8.9302
100268168_at,4.4652
100270679_at,3.6578
100270804_at,6.4692
100271722_at,6.3318
100271832_at,3.9009
100272147_at,9.8589
100272217_at,5.6259
100272228_at,6.4111
100286844_at,4.049
100286922_at,3.6565
100286925_at,4.4697
100286938_at,4.4309
100287015_at,3.809
100287114_at,3.9791
100287177_at,4.3879
100287216_at,3.6194
100287227_at,4.4842
100287366_at,3.6524
100287437_at,4.7186
100287482_at,6.8446
100287558_at,5.1269
100287569_at,5.3084
100287576_at,4.3782
100287598_at,4.0713
100287616_at,6.2369
100287628_at,9.5079
100287765_at,6.4165
100287813_at,4.1252
100287814_at,4.0735
100287896_at,7.9091
100287902_at,4.7916
100287932_at,10.14
100288079_at,4.5392
100288092_at,6.703
100288122_at,4.3891
100288123_at,3.4916
100288152_at,7.2264
100288198_at,4.0392
100288413_at,4.8407
100288432_at,3.9074
100288637_at,7.6521
100288679_at,3.6664
100288730_at,5.8909
100288797_at,3.6894
100288801_at,3.626
100288911_at,8.5027
100289019_at,8.1309
100289092_at,5.4359
100289098_at,8.3992
100289187_at,7.1771
100289230_at,6.5975
100289251_at,4.9149
100289255_at,4.1341
100289274_at,6.4257
100289341_at,6.9164
100289361_at,6.0345
100289373_at,5.2183
100289410_at,5.0652
100289495_at,4.7958
100289509_at,4.2997
100289635_at,8.0284
100289678_at,6.7669
100292680_at,4.5887
100293516_at,8.4962
100294362_at,3.551
100294720_at,4.3643
1003_at,4.3387
100302650_at,5.2071
100302691_at,4.0124
100302740_at,3.5684
100303728_at,5.2162
100303755_at,10.071
100306951_at,10.546
100309464_at,3.499
100316868_at,3.9732
100316904_at,6.1887
100329135_at,3.5713
100359394_at,3.3936
10036_at,6.9851
100379224_at,3.378
100379661_at,3.4442
10038_at,10.598
100381270_at,7.5198
10039_at,6.2862
1004_at,3.7277
10040_at,9.6423
10042_at,9.4222
100422737_at,3.8815
10043_at,5.8507
10044_at,3.6982
10045_at,6.3262
10046_at,5.2384
10047_at,4.263
10048_at,8.8647
10049_at,8.8294
100498859_at,4.2435
100499177_at,11.104
100499194_at,4.3763
100499466_at,7.6882
100499467_at,6.7414
100499489_at,4.3615
1005_at,4.0767
10050_at,4.4949
100500850_at,7.5882
100505474_at,3.5174
100505478_at,4.738
100505481_at,4.5828
100505483_at,5.1507
100505484_at,3.4762
100505487_at,7.9187
100505490_at,7.8133
100505491_at,3.8
100505495_at,3.8553
100505498_at,3.9356
100505500_at,4.4833
100505501_at,5.8009
100505515_at,3.9057
100505518_at,3.566
100505519_at,7.5053
100505525_at,3.3807
100505533_at,3.6579
100505536_at,4.0817
100505538_at,4.3527
100505540_at,3.7527
100505545_at,3.6221
100505547_at,4.8249
100505549_at,4.1834
100505554_at,4.3929
100505555_at,3.7504
100505562_at,4.9118
100505564_at,3.4873
100505565_at,3.4763
100505570_at,4.0664
100505572_at,3.6301
100505573_at,8.6191
100505574_at,3.9026
100505576_at,6.6036
100505583_at,3.5623
100505592_at,3.9086
100505598_at,3.6097
100505601_at,4.3535
100505606_at,4.2301
100505609_at,3.704
100505616_at,9.8808
100505619_at,3.937
100505622_at,3.8463
100505624_at,3.8899
100505633_at,3.9428
100505634_at,5.7736
100505635_at,3.9285
100505639_at,4.9075
100505641_at,9.723
100505644_at,4.4839
100505649_at,3.552
100505650_at,3.7125
100505657_at,4.0186
100505658_at,3.6342
100505659_at,4.0135
100505664_at,3.7146
100505666_at,4.8242
100505668_at,5.0409
100505676_at,3.9243
100505681_at,4.6767
100505683_at,4.0772
100505685_at,3.6256
100505686_at,3.8016
100505687_at,10.042
100505697_at,4.1304
100505702_at,3.7065
100505709_at,3.2658
100505710_at,6.1466
100505711_at,5.3112
100505715_at,8.6861
100505716_at,3.8312
100505718_at,3.5107
100505725_at,3.8121
100505727_at,3.7578
100505729_at,5.868
100505730_at,6.6502
100505735_at,3.8034
100505738_at,6.2482
100505741_at,3.9143
100505746_at,4.367
100505750_at,3.8555
100505758_at,4.6598
100505760_at,3.6357
100505761_at,6.512
100505763_at,6.4681
100505768_at,3.4321
100505773_at,4.8012
100505774_at,4.1465
100505776_at,3.4327
100505782_at,3.617
100505783_at,6.6861
100505784_at,3.6188
100505786_at,4.252
100505792_at,9.6317
100505794_at,4.0356
100505797_at,3.5107
100505801_at,3.4946
100505806_at,4.1343
100505811_at,3.7164
100505820_at,4.4125
100505826_at,4.9305
100505828_at,3.935
100505832_at,3.3441
100505835_at,3.7147
100505838_at,3.7851
