ID_REF,VALUE,Description
10002_at,3.8912,"nuclear receptor subfamily 2, group E, member 3"
10003_at,3.6664,N-acetylated alpha-linked acidic dipeptidase 2
100048912_at,3.899,CDKN2B antisense RNA (non-protein coding)
100126784_at,3.6305,uncharacterized LOC100126784
100126791_at,3.8804,eosinophil granule ontogeny transcript (non-protein coding)
100127950_at,3.3576,HECW1 intronic transcript 1 (non-protein coding)
100127974_at,3.5625,uncharacterized LOC100127974
100128025_at,3.5668,WWTR1 antisense RNA 1 (non-protein coding)
100128098_at,3.9511,uncharacterized LOC100128098
100128124_at,3.613,uncharacterized LOC100128124
100128126_at,3.771,uncharacterized LOC100128126
100128139_at,3.5298,uncharacterized LOC100128139
100128176_at,3.4545,uncharacterized LOC100128176
100128239_at,3.6375,uncharacterized LOC100128239
100128511_at,3.8576,uncharacterized LOC100128511
100128554_at,3.452,uncharacterized LOC100128554
100128590_at,3.494,uncharacterized LOC100128590
100128751_at,3.9082,INM04
100128993_at,3.7105,uncharacterized LOC100128993
100128998_at,3.7172,chromosome 20 open reading frame 181
100129271_at,3.6595,chromosome 1 open reading frame 68
100129463_at,3.899,uncharacterized LOC100129463
100129476_at,3.7525,uncharacterized LOC100129476
100129597_at,3.4115,uncharacterized LOC100129597
100129620_at,3.4924,uncharacterized LOC100129620
100129654_at,3.5902,transcription factor 24
100129662_at,3.5389,uncharacterized LOC100129662
100129792_at,3.746,coiled-coil domain containing 152
100129858_at,3.495,uncharacterized LOC100129858
100129961_at,3.9049,uncharacterized LOC100129961
100130111_at,3.6084,uncharacterized LOC100130111
100130155_at,3.7908,uncharacterized LOC100130155
100130249_at,3.9075,uncharacterized LOC100130249
100130264_at,3.8362,uncharacterized LOC100130264
100130331_at,3.8524,"POTE ankyrin domain family, member F pseudogene"
100130418_at,3.6926,"cat eye syndrome chromosome region, candidate 7 (non-protein coding)"
100130452_at,3.6616,uncharacterized LOC100130452
100130458_at,3.7611,uncharacterized LOC100130458
100130503_at,3.3912,uncharacterized LOC100130503
100130548_at,3.8027,uncharacterized LOC100130548
100130705_at,3.8546,uncharacterized LOC100130705
100130717_at,3.8678,CECR5 antisense RNA 1 (non-protein coding)
100130815_at,3.6561,uncharacterized LOC100130815
100130889_at,3.772,psoriasis susceptibility 1 candidate 3 (non-protein coding)
100130894_at,3.6366,uncharacterized LOC100130894
100130964_at,3.5312,uncharacterized LOC100130964
100131117_at,3.6978,ZBTB20 antisense RNA 1 (non-protein coding)
100131138_at,3.5658,uncharacterized LOC100131138
100131275_at,3.6381,nervous system abundant protein 11
100131283_at,3.4778,uncharacterized LOC100131283
100131655_at,3.6726,uncharacterized LOC100131655
100131733_at,3.8254,uncharacterized LOC100131733
100131814_at,3.6412,long intergenic non-protein coding RNA 271
100131816_at,3.7327,ubiquitin-conjugating enzyme E2D N-terminal like (pseudogene)
100131827_at,3.8393,zinc finger protein 717
100131998_at,3.9599,RNA polymerase I transcription factor homolog (S. cerevisiae) pseudogene 3
100132234_at,3.4912,uncharacterized LOC100132234
100132464_at,3.9624,"family with sequence similarity 99, member B (non-protein coding)"
100132476_at,3.2114,keratin associated protein 4-7
100132596_at,3.9785,"Xg pseudogene, Y-linked 2"
100132618_at,3.6198,ZRANB2 antisense RNA 1 (non-protein coding)
100132735_at,3.5299,uncharacterized LOC100132735
100132891_at,3.4192,uncharacterized LOC100132891
100132987_at,3.8367,uncharacterized LOC100132987
100133308_at,3.6178,Ras suppressor protein 1 pseudogene
100133461_at,3.9735,uncharacterized LOC100133461
100133991_at,3.8342,uncharacterized LOC100133991
100134368_at,3.755,uncharacterized LOC100134368
100144597_at,3.9332,uncharacterized LOC100144597
100144602_at,3.9466,uncharacterized LOC100144602
100169752_at,3.8079,uncharacterized LOC100169752
100169890_at,3.3335,PEG3 antisense RNA 1 (non-protein coding)
100170765_at,3.8163,chromosome 19 open reading frame 69
100188953_at,3.8799,long intergenic non-protein coding RNA 92
100189589_at,3.5066,uncharacterized LOC100189589
100190938_at,3.8871,uncharacterized LOC100190938
100192378_at,3.5439,uncharacterized LOC100192378
100192379_at,3.6072,uncharacterized LOC100192379
100192386_at,3.7937,uncharacterized LOC100192386
10022_at,3.7739,insulin-like 5
100270679_at,3.6578,uncharacterized LOC100270679
100271832_at,3.9009,uncharacterized LOC100271832
100286922_at,3.6565,"DnaJ (Hsp40) homolog, subfamily B, member 7 pseudogene"
100287015_at,3.809,uncharacterized LOC100287015
100287114_at,3.9791,long intergenic non-protein coding RNA 421
100287216_at,3.6194,uncharacterized LOC100287216
100287366_at,3.6524,uncharacterized LOC100287366
100288123_at,3.4916,uncharacterized LOC100288123
100288432_at,3.9074,uncharacterized LOC100288432
100288679_at,3.6664,chromosome 13 open reading frame 41
100288797_at,3.6894,transmembrane protein 239
100288801_at,3.626,"FSHD region gene 2 family, member C"
100294362_at,3.551,uncharacterized LOC100294362
100302740_at,3.5684,FAS antisense RNA 1 (non-protein coding)
100309464_at,3.499,Otx2 opposite strand transcript 1
100316868_at,3.9732,HOXA distal transcript antisense RNA (non-protein coding)
100329135_at,3.5713,uncharacterized LOC100329135
100359394_at,3.3936,long intergenic non-protein coding RNA 102
100379224_at,3.378,uncharacterized LOC100379224
100379661_at,3.4442,GRIK1 antisense RNA 2 (non-protein coding)
1004_at,3.7277,"6, type 2, K-cadherin (fetal kidney)"
100422737_at,3.8815,uncharacterized LOC100422737
10044_at,3.6982,SH2 domain containing 3C
100505474_at,3.5174,uncharacterized LOC100505474
100505484_at,3.4762,uncharacterized LOC100505484
100505491_at,3.8,uncharacterized LOC100505491
100505495_at,3.8553,uncharacterized LOC100505495
100505498_at,3.9356,uncharacterized LOC100505498
100505515_at,3.9057,uncharacterized LOC100505515
100505518_at,3.566,uncharacterized LOC100505518
100505525_at,3.3807,uncharacterized LOC100505525
100505533_at,3.6579,uncharacterized LOC100505533
100505540_at,3.7527,uncharacterized LOC100505540
100505545_at,3.6221,uncharacterized LOC100505545
100505555_at,3.7504,uncharacterized LOC100505555
100505564_at,3.4873,uncharacterized LOC100505564
100505565_at,3.4763,uncharacterized LOC100505565
100505572_at,3.6301,uncharacterized LOC100505572
100505574_at,3.9026,uncharacterized LOC100505574
100505583_at,3.5623,uncharacterized LOC100505583
100505592_at,3.9086,uncharacterized LOC100505592
100505598_at,3.6097,PEX5L antisense RNA 2 (non-protein coding)
100505609_at,3.704,uncharacterized LOC100505609
100505619_at,3.937,uncharacterized LOC100505619
100505622_at,3.8463,uncharacterized LOC100505622
100505624_at,3.8899,uncharacterized LOC100505624
100505633_at,3.9428,uncharacterized LOC100505633
100505635_at,3.9285,uncharacterized LOC100505635
100505649_at,3.552,uncharacterized LOC100505649
100505650_at,3.7125,uncharacterized LOC100505650
100505658_at,3.6342,uncharacterized LOC100505658
100505664_at,3.7146,uncharacterized LOC100505664
100505676_at,3.9243,uncharacterized LOC100505676
100505685_at,3.6256,uncharacterized LOC100505685
100505686_at,3.8016,uncharacterized LOC100505686
100505702_at,3.7065,uncharacterized LOC100505702
100505709_at,3.2658,uncharacterized LOC100505709
100505716_at,3.8312,uncharacterized LOC100505716
100505718_at,3.5107,uncharacterized LOC100505718
100505725_at,3.8121,uncharacterized LOC100505725
100505727_at,3.7578,uncharacterized LOC100505727
100505735_at,3.8034,uncharacterized LOC100505735
100505741_at,3.9143,spermatogenesis associated 1
100505750_at,3.8555,uncharacterized LOC100505750
100505760_at,3.6357,uncharacterized LOC100505760
100505768_at,3.4321,uncharacterized LOC100505768
100505776_at,3.4327,uncharacterized LOC100505776
100505782_at,3.617,uncharacterized LOC100505782
100505784_at,3.6188,uncharacterized LOC100505784
100505797_at,3.5107,uncharacterized LOC100505797
100505801_at,3.4946,uncharacterized LOC100505801
100505811_at,3.7164,uncharacterized LOC100505811
100505828_at,3.935,uncharacterized LOC100505828
100505832_at,3.3441,uncharacterized LOC100505832
100505835_at,3.7147,uncharacterized LOC100505835
100505838_at,3.7851,uncharacterized LOC100505838
100505841_at,3.7003,zinc finger protein 474-like
100505851_at,3.9738,uncharacterized LOC100505851
100505862_at,3.4737,uncharacterized LOC100505862
100505875_at,3.7051,uncharacterized LOC100505875
100505877_at,3.5831,uncharacterized LOC100505877
100505878_at,3.4427,uncharacterized LOC100505878
100505881_at,3.7126,MAGI2 antisense RNA 3 (non-protein coding)
100505893_at,3.5891,SLIT2 intronic transcript 1 (non-protein coding)
100505903_at,3.8383,uncharacterized LOC100505903
100505904_at,3.6326,uncharacterized LOC100505904
100505906_at,3.928,uncharacterized LOC100505906
100505908_at,3.6309,uncharacterized LOC100505908
100505928_at,3.5038,uncharacterized LOC100505928
100505929_at,3.4935,chromosome 21 open reading frame 37
100505933_at,3.858,uncharacterized LOC100505933
100505960_at,3.6403,uncharacterized LOC100505960
100505963_at,3.8432,uncharacterized LOC100505963
100505967_at,3.4797,uncharacterized LOC100505967
100505976_at,3.9279,uncharacterized LOC100505976
100505978_at,3.7527,uncharacterized LOC100505978
100505983_at,3.6531,uncharacterized LOC100505983
100505986_at,3.5477,uncharacterized LOC100505986
100505989_at,3.5407,uncharacterized LOC100505989
100506003_at,3.3317,ZFY antisense RNA 1 (non-protein coding)
100506013_at,3.4983,uncharacterized LOC100506013
100506016_at,3.3341,uncharacterized LOC100506016
100506021_at,3.9562,uncharacterized LOC100506021
100506025_at,3.6416,uncharacterized LOC100506025
100506030_at,3.555,uncharacterized LOC100506030
100506034_at,3.772,uncharacterized LOC100506034
100506059_at,3.742,uncharacterized LOC100506059
100506068_at,3.7003,uncharacterized LOC100506068
100506070_at,3.6854,uncharacterized LOC100506070
100506071_at,3.5761,uncharacterized LOC100506071
100506083_at,3.6139,uncharacterized LOC100506083
100506088_at,3.6733,uncharacterized LOC100506088
100506089_at,3.9097,uncharacterized LOC100506089
100506102_at,3.9347,uncharacterized LOC100506102
100506104_at,3.9447,uncharacterized LOC100506104
100506107_at,3.6984,uncharacterized LOC100506107
100506108_at,3.5932,uncharacterized LOC100506108
100506122_at,3.8922,uncharacterized LOC100506122
100506125_at,3.7658,uncharacterized LOC100506125
100506126_at,3.8227,uncharacterized LOC100506126
100506128_at,3.8,uncharacterized LOC100506128
100506154_at,3.4342,uncharacterized LOC100506154
100506165_at,3.4266,uncharacterized LOC100506165
100506172_at,3.2498,uncharacterized LOC100506172
100506174_at,3.8786,uncharacterized LOC100506174
100506189_at,3.9339,uncharacterized LOC100506189
100506195_at,3.6523,uncharacterized LOC100506195
100506206_at,3.508,uncharacterized LOC100506206
100506207_at,3.7687,uncharacterized LOC100506207
100506216_at,3.6696,uncharacterized LOC100506216
100506226_at,3.7106,uncharacterized LOC100506226
100506229_at,3.6707,uncharacterized LOC100506229
100506236_at,3.5766,uncharacterized LOC100506236
100506237_at,3.8746,NKX2-1 antisense RNA 1 (non-protein coding)
100506238_at,3.6033,uncharacterized LOC100506238
100506243_at,3.7631,KRAB box domain containing 1
100506247_at,3.4804,uncharacterized LOC100506247
100506258_at,3.7112,uncharacterized LOC100506258
100506267_at,3.6891,uncharacterized LOC100506267
100506272_at,3.52,uncharacterized LOC100506272
100506274_at,3.36,uncharacterized LOC100506274
100506286_at,3.3461,uncharacterized LOC100506286
100506289_at,3.3589,uncharacterized LOC100506289
100506291_at,3.5665,uncharacterized LOC100506291
100506327_at,3.9491,uncharacterized LOC100506327
100506331_at,3.526,uncharacterized LOC100506331
100506348_at,3.9476,uncharacterized LOC100506348
100506351_at,3.9057,uncharacterized LOC100506351
100506354_at,3.8815,uncharacterized LOC100506354
100506358_at,3.7723,uncharacterized LOC100506358
100506371_at,3.5936,uncharacterized LOC100506371
100506377_at,3.8262,uncharacterized LOC100506377
100506379_at,3.6262,uncharacterized LOC100506379
100506385_at,3.5062,uncharacterized LOC100506385
100506387_at,3.5433,uncharacterized LOC100506387
100506388_at,3.9268,uncharacterized LOC100506388
100506397_at,3.6836,uncharacterized LOC100506397
100506403_at,3.7206,uncharacterized LOC100506403
100506405_at,3.8109,uncharacterized LOC100506405
100506409_at,3.8876,uncharacterized LOC100506409
100506413_at,3.5307,uncharacterized LOC100506413
100506415_at,3.6249,uncharacterized LOC100506415
100506433_at,3.8534,uncharacterized LOC100506433
100506446_at,3.7863,uncharacterized LOC100506446
100506459_at,3.6808,uncharacterized LOC100506459
100506462_at,3.5397,uncharacterized LOC100506462
100506465_at,3.9058,uncharacterized LOC100506465
100506475_at,3.3356,EGFLAM antisense RNA 2 (non-protein coding)
100506484_at,3.6816,uncharacterized LOC100506484
100506485_at,3.7448,uncharacterized LOC100506485
100506489_at,3.3119,uncharacterized LOC100506489
100506492_at,3.85,DSCAM antisense RNA 1 (non-protein coding)
100506494_at,3.9442,uncharacterized LOC100506494
100506495_at,3.3292,LIFR antisense RNA 1 (non-protein coding)
100506496_at,3.7277,uncharacterized LOC100506496
100506498_at,3.4736,uncharacterized LOC100506498
100506530_at,3.4854,uncharacterized LOC100506530
100506542_at,3.4231,uncharacterized LOC100506542
100506555_at,3.6998,PVRL3 antisense RNA 1 (non-protein coding)
100506557_at,3.6234,uncharacterized LOC100506557
100506558_at,3.6401,uncharacterized LOC100506558
100506577_at,3.4228,uncharacterized LOC100506577
100506582_at,3.9248,uncharacterized LOC100506582
100506627_at,3.3426,doublecortin domain containing 5
100506629_at,3.7159,uncharacterized LOC100506629
100506652_at,3.5427,uncharacterized LOC100506652
100506660_at,3.6646,uncharacterized LOC100506660
100506671_at,3.6759,PHKA1 antisense RNA 1 (non-protein coding)
100506679_at,3.7266,uncharacterized LOC100506679
